id,code,sku,site,descricao,marca,potencia
0,KB-FT-0,BLU500PFC,Kabum,Fonte Bluecase 500W com Cabo e com Caixa - BLU500PFC,Bluecase,500W
1,KB-FT-1,BPC-230,Kabum,Fonte Brazil PC 230W - BPC-230,Brazil PC,230W
2,KB-FT-2,BPC/500,Kabum,Fonte Brazil PC 500W 80 Plus Bronze BPC/500 - 38040,Brazil PC,500W
3,KB-FT-3,BPC/7400,Kabum,Fonte Brazil PC 750W BPC/7400 - 38038,Brazil PC,750W
4,KB-FT-4,BPC/500PFCA,Kabum,Fonte Brazil PC 500W BPC/500PFCA - 38039,Brazil PC,500W
5,KB-FT-5,BPC/5330,Kabum,Fonte Brazil PC 500W BPC/5330 - 38036,Brazil PC,500W
6,KB-FT-6,BPC/6350,Kabum,Fonte Brazil PC 600W BPC/6350 - 38037,Brazil PC,600W
7,KB-FT-7,PS-G500B,Kabum,"Fonte C3Tech PS-G500B, 500W, 80 Plus Bronze - PS-G500B",C3 tech,500W
8,KB-FT-8,PS-200SFX,Kabum,Fonte C3 Tech 200W SFX PS-200SFX,C3 tech,200W
9,KB-FT-9,PS-350,Kabum,Fonte C3 Tech 350W sem Cabo - PS-350,C3 tech,350W
10,KB-FT-10,PS-G600B,Kabum,"Fonte C3Tech PS-G600B, 600W, 80 Plus Bronze - PS-G600B",C3 tech,600W
11,KB-FT-11,PS-500BK,Kabum,"Fonte C3 Tech PS-500BK, 500W - PS-500BK",C3 tech,500W
12,KB-FT-12,MPW-3001-ACAAN1,Kabum,Fonte Cooler Master 300W Elite V3 - MPW-3001-ACAAN1,Cooler Master,300W
13,KB-FT-13,MPE-4501-ACAAW-BR,Kabum,"Fonte Cooler Master MWE White V2 450W, 80 Plus Standart - MPE-4501-ACAAW-BR",Cooler Master,450W
14,KB-FT-14,MPE-7501-ACAAW,Kabum,"Fonte Cooler Master MWE 750 White V2, 750W, 80 Plus Standard - MPE-7501-ACAAW",Cooler Master,750W
15,KB-FT-15,MPY-6501-ACAAG,Kabum,"Fonte Cooler Master MWE 650W, 80 Plus Gold - MPY-6501-ACAAG",Cooler Master,650W
16,KB-FT-16,MPY-5501-ACAAG,Kabum,"Fonte Cooler Master MWE 550W, 80 Plus Gold - MPY-5501-ACAAG",Cooler Master,550W
17,KB-FT-17,MPE-6501-ACAAG-WO,Kabum,"Fonte Cooler Master MWE, 650W, 80 Plus Gold - MPE-6501-ACAAG-WO",Cooler Master,650W
18,KB-FT-18,MPX-4501-AMAAB-OF,Kabum,"Fonte Cooler Master MasterWatt TUF 450W, 80 Plus Bronze, Semi-Modular - MPX-4501-AMAAB-OF",Cooler Master,450W
19,KB-FT-19,MPE-7501-ACAAG-WO,Kabum,"Fonte Cooler Master MWE V2, 750W, 80 Plus Gold - MPE-7501-ACAAG-WO",Cooler Master,750W
20,KB-FT-20,MPE-5501-ACAAW-BR,Kabum,"Fonte Cooler Master MWE White V2 550W, 80 Plus Standart - MPE-5501-ACAAW-BR",Cooler Master,550W
21,KB-FT-21,MPE-7001-ACAAB-BR,Kabum,"Fonte Cooler Master MWE Bronze V2, 700W, 80 Plus Bronze - MPE-7001-ACAAB-BR",Cooler Master,700W
22,KB-FT-22,MPE-5501-ACAAG-WO,Kabum,"Fonte Cooler Master MWE V2, 550W, 80 Plus Gold - MPE-5501-ACAAG-WO",Cooler Master,550W
23,KB-FT-23,MPE-5001-ACAAB-BR,Kabum,"Fonte Cooler Master MWE Bronze V2, 500W, 80 Plus Bronze - MPE-5001-ACAAB-BR",Cooler Master,500W
24,KB-FT-24,MPE-6501-ACAAW-BR,Kabum,"Fonte Cooler Master MWE White V2 650W, 80 Plus Standard - MPE-6501-ACAAW-BR",Cooler Master,650W
25,KB-FT-25,MPE-8501-ACAAG-WO,Kabum,"Fonte Cooler Master MWE V2, 850W, 80 Plus Gold - MPE-8501-ACAAG-WO",Cooler Master,850W
26,KB-FT-26,MPE-6001-ACAAB-BR,Kabum,"Fonte Cooler Master MWE Bronze V2, 600W, 80 Plus Bronze - MPE-6001-ACAAB-BR",Cooler Master,600W
27,KB-FT-27,CP-9020123,Kabum,"Fonte Corsair 750W 80 Plus Bronze CX750, PFC Ativo - CP-9020123",Corsair,750W
28,KB-FT-28,CP-9020209-BR,Kabum,"Fonte Corsair CV450, 450W, 80 Plus Bronze - CP-9020209-BR",Corsair,450W
29,KB-FT-29,CP-9020121,Kabum,Fonte Corsair 550W 80 Plus Bronze CX550 - CP-9020121,Corsair,550W
30,KB-FT-30,CP-9020008,Kabum,Fonte Corsair 1200W 80 Plus Platinum Modular AX1200i - CP-9020008,Corsair,1200W
31,KB-FT-31,CP-9020120-BR,Kabum,Fonte Corsair 450W 80 Plus Bronze CX450 - CP-9020120-BR,Corsair,450W
32,KB-FT-32,CP-9020182-NA,Kabum,"Fonte Corsair SF Series, 600W, 80 Plus Platinum, Modular - CP-9020182-NA",Corsair,600W
33,KB-FT-33,CP-9020122,Kabum,Fonte Corsair 650W 80 Plus Bronze CX650 - CP-9020122,Corsair,650W
34,KB-FT-34,CP-9020177-WW,Kabum,"Fonte Corsair RM550X, 550W, 80 Plus Gold, Modular - CP-9020177-WW",Corsair,550W
