id,code,sku,site,descricao,marca,modelo,memoria,gddr
0,KB-GP-0,AFR5220-2048D3L5,Kabum,"Placa de Vídeo Afox AMD Radeon R5 220, 2GB, DDR3 - AFR5220-2048D3L5",Afox,R5 220 DDR3,2GB,GDDR3
1,KB-GP-1,100-505957,Kabum,"Placa de Vídeo AMD Radeon Pro WX 9100, 16GB, HBM2 - 100-505957",Amd,Pro WX 9100 HBM2,16GB,NaN
2,KB-GP-2,100-505826,Kabum,"Placa de Vídeo AMD Radeon Pro WX 7100, 8GB, GDDR5 - 100-505826",Amd,Pro WX 7100,8GB,GDDR5
3,KB-GP-3,100-506001,Kabum,"Placa de Vídeo AMD Radeon Pro WX 2100, 2GB, GDDR5 - 100-506001",Amd,Pro WX 2100,2GB,GDDR5
4,KB-GP-4,GV-R57XTAORUS-8GD,Kabum,"Placa de Vídeo Aorus AMD Radeon RX 5700 XT, 8GB, GDDR6 - GV-R57XTAORUS-8GD",Aorus,RX 5700 XT,8GB,GDDR6
5,KB-GP-5,NaN,Kabum,"Placa de Video Asrock Phantom Gaming D Radeon RX570 4G, GDDR5",ASRock,Phantom Gaming D RX570 4G,NaN,GDDR5
6,KB-GP-6,RX5500XT CLD 8GO,Kabum,"Placa de Vídeo ASRock AMD Radeon RX 5500 XT Challenger D 8G OC, 8GB, GDDR6 - RX5500XT CLD 8GO",ASRock,RX 5500 XT Challenger D 8G OC,8GB,GDDR6
7,KB-GP-7,90-GA1VZZ-00UANF,Kabum,"Placa de Vídeo ASRock AMD Radeon RX 5600 XT Phantom Gaming D3 OC, 6GB, DDR6 - 90-GA1VZZ-00UANF",ASRock,RX 5600 XT Phantom Gaming D3 OC DDR6,6GB,GDDR6
8,KB-GP-8,90-GA0500-00UANF,Kabum,"Placa de Vídeo ASRock AMD Radeon RX 550 Phantom Gaming 2G, GDDR5 - 90-GA0500-00UANF",ASRock,RX 550 Phantom Gaming 2G,NaN,GDDR5
9,KB-GP-9,RX5500XT PGD 8GO,Kabum,"Placa de Vídeo ASRock AMD Radeon RX 5500 XT Phantom Gaming D 8G OC, 8GB, GDDR6 - RX5500XT PGD 8GO",ASRock,RX 5500 XT Phantom Gaming D 8G OC,8GB,GDDR6
10,KB-GP-10,90-GA1WZZ-00UANF,Kabum,"Placa de Vídeo ASRock AMD Radeon RX 5600 XT Phantom Gaming D2 OC, 6GB, DDR6 - 90-GA1WZZ-00UANF",ASRock,RX 5600 XT Phantom Gaming D2 OC DDR6,6GB,GDDR6
11,KB-GP-11,90-GA1XZZ-00UANF,Kabum,"Placa de Vídeo ASRock AMD Radeon RX 5600 XT Challenger D OC, 6GB, DDR6 - 90-GA1XZZ-00UANF",ASRock,RX 5600 XT Challenger D OC DDR6,6GB,GDDR6
12,KB-GP-12,90-GA18ZZ-00UANF,Kabum,"Placa de Video Asrock AMD Radeon RX 5700 XT Challenger D OC, 8GB, GDDR6 - 90-GA18ZZ-00UANF",ASRock,RX 5700 XT Challenger D OC,8GB,GDDR6
13,KB-GP-13,RX5700XT TCX 8GP,Kabum,"Placa de Vídeo ASRock AMD Radeon RX5700 XT Taichi X 8G OC+, 8GB, GDDR6 - RX5700XT TCX 8GP",ASRock,RX5700 XT Taichi X 8G OC+,8GB,GDDR6
14,KB-GP-14,NaN,Kabum,"Placa de Video Asrock Phantom Gaming D Radeon RX570 8G OC, GDDR5",ASRock,Phantom Gaming D RX570 8G OC,NaN,GDDR5
15,KB-GP-15,90-GA1JZZ-00UANF,Kabum,"Placa de Vídeo ASRock AMD Radeon RX 5700 XT Phantom Gaming D 8G OC, 8GB, GDDR6 - 90-GA1JZZ-00UANF",ASRock,RX 5700 XT Phantom Gaming D 8G OC,8GB,GDDR6
16,KB-GP-16,PH-RX550-2G-EVO,Kabum,"Placa de Vídeo Asus Phoenix AMD Radeon RX 550, 2GB, GDDR5 - PH-RX550-2G-EVO",Asus,Phoenix RX 550,2GB,GDDR5
17,KB-GP-17,DUAL-RTX2080S-O8G-EVO-V2,Kabum,"Placa de Vídeo Asus NVIDIA Dual GeForce RTX 2080 Super EVO V2 OC, 8GB, GDDR6 - DUAL-RTX2080S-O8G-EVO-V2",Asus,Dual RTX 2080 Super EVO V2 OC,8GB,GDDR6
18,KB-GP-18,ROG-STRIX-RTX2080TI-O11G-GAMING,Kabum,"Placa de Vídeo Asus ROG Strix NVIDIA GeForce RTX 2080 Ti 11GB, GDDR6 - ROG-STRIX-RTX2080TI-O11G-GAMING",Asus,ROG Strix RTX 2080 Ti,11GB,GDDR6
19,KB-GP-19,DUAL-RTX2060S-8G-EVO-V2,Kabum,"Placa de Vídeo Asus Dual NVIDIA GeForce RTX 2060 Super EVO V2, 8GB, GDDR6 - DUAL-RTX2060S-8G-EVO-V2",Asus,Dual RTX 2060 Super EVO V2,8GB,GDDR6
20,KB-GP-20,TUF-GTX1650S-O4G-GAMING,Kabum,"Placa de Vídeo Asus TUF Gaming NVIDIA GeForce GTX 1650 Super OC, 4GB, GDDR6 - TUF-GTX1650S-O4G-GAMING",Asus,TUF Gaming GTX 1650 Super OC,4GB,GDDR6
21,KB-GP-21,DUAL-RX5600XT-T6G-EVO,Kabum,"Placa de Vídeo Asus Dual AMD Radeon RX 5600 XT EVO, 6GB, GDDR6 - DUAL-RX5600XT-T6G-EVO",Asus,Dual RX 5600 XT EVO,6GB,GDDR6
22,KB-GP-22,ROG-STRIX-RX5500XT-O8G-GAMING,Kabum,"Placa de Vídeo Asus ROG Strix AMD RX 5500 XT OC Gaming, 8G, GDDR6 - ROG-STRIX-RX5500XT-O8G-GAMING",Asus,ROG Strix RX 5500 XT OC Gaming 8G,NaN,GDDR6
23,KB-GP-23,DUAL-RTX2060-O6G-EVO,Kabum,"Placa de Vídeo Asus NVIDIA Dual GeForce RTX 2060 EVO OC, 6GB, GDDR6 - DUAL-RTX2060-O6G-EVO",Asus,Dual RTX 2060 EVO OC,6GB,GDDR6
24,KB-GP-24,TUF-RTX2060-O6G-GAMING,Kabum,"Placa de Vídeo Asus TUF NVIDIA GeForce RTX 2060, 14.0 Gbps, 6GB, GDDR6, Turing, Shadowplay, Ray Tracing - TUF-RTX2060-O6G-GAMING",Asus,TUF RTX 2060 14.0 Gbps Turing Shadowplay Ray Tracing,6GB,GDDR6
25,KB-GP-25,TUF 3-GTX1660S-O6G-GAMING,Kabum,"Placa de Vídeo Asus TUF3 NVIDIA GeForce GTX 1660 SUPER, 14.0 Gbps, 6GB, GDDR6, Turing Shaders - TUF 3-GTX1660S-O6G-GAMING",Asus,TUF3 GTX 1660 SUPER 14.0 Gbps Turing Shaders,6GB,GDDR6
26,KB-GP-26,DUAL-RTX2080S-8G-EVO-V2,Kabum,"Placa de Vídeo Asus Dual NVIDIA GeForce RTX 2080 Super EVO, 8GB, GDDR6 - DUAL-RTX2080S-8G-EVO-V2",Asus,Dual RTX 2080 Super EVO,8GB,GDDR6
27,KB-GP-27,PH-GTX1650-O4G,Kabum,"Placa de Vídeo Asus Phoenix NVIDIA GeForce GTX 1650 OC, 4GB, GDDR5 - PH-GTX1650-O4G",Asus,Phoenix GTX 1650 OC,4GB,GDDR5
28,KB-GP-28,DUAL-RX580-O8G,Kabum,"Placa de Vídeo Asus AMD Radeon RX 580 OC 8GB, GDDR5 - DUAL-RX580-O8G",Asus,RX 580 OC,8GB,GDDR5
29,KB-GP-29,TUF 3-RX5700XT-O8G-EVO-GAMING,Kabum,"Placa de Vídeo Asus TUF Gaming X3 AMD Radeon RX 5700 XT EVO, 8GB, GDDR6 - TUF 3-RX5700XT-O8G-EVO-GAMING",Asus,TUF Gaming X3 RX 5700 XT EVO,8GB,GDDR6
30,KB-GP-30,DUAL-RX5500XT-O8G-EVO,Kabum,"Placa de Vídeo Asus Dual AMD Radeon RX 5500 XT EVO, 8GB, GDDR6 - DUAL-RX5500XT-O8G-EVO",Asus,Dual RX 5500 XT EVO,8GB,GDDR6
31,KB-GP-31,DUAL-RTX2060-A6G-EVO,Kabum,"Placa de Vídeo Asus Dual NVIDIA GeForce RTX 2060 6GB, GDDR6 - DUAL-RTX2060-A6G-EVO",Asus,Dual RTX 2060,6GB,GDDR6
32,KB-GP-32,DUAL-RTX2080S-O8G-EVO,Kabum,"Placa de Vídeo Asus NVIDIA Dual GeForce RTX 2080 Super EVO OC 8GB, GDDR6 - DUAL-RTX2080S-O8G-EVO",Asus,Dual RTX 2080 Super EVO OC,8GB,GDDR6
33,KB-GP-33,CERBERUS-GTX1050TI-O4G,Kabum,"Placa de Vídeo Asus NVIDIA GeForce GTX 1050 Ti OC Cerberus 4GB, GDDR5 - CERBERUS-GTX1050TI-O4G",Asus,GTX 1050 Ti OC Cerberus,4GB,GDDR5
34,KB-GP-34,PH-RX550-4G-EVO,Kabum,"Placa de Vídeo Asus Phoenix AMD Radeon RX 550, 4GB, GDDR5 - PH-RX550-4G-EVO",Asus,Phoenix RX 550,4GB,GDDR5
35,KB-GP-35,DUAL-RX5500XT-O4G-EVO,Kabum,"Placa de Vídeo Asus Dual AMD Radeon RX 5500 XT EVO, 4GB, 14.0 Gbps, GDDR6, FidelityFX, Anti-Lag, Image Sharpening - DUAL-RX5500XT-O4G-EVO",Asus,Dual RX 5500 XT EVO 14.0 Gbps FidelityFX Anti-Lag Image Sharpening,4GB,GDDR6
36,KB-GP-36,PH-GTX1650-O4GD6,Kabum,"Placa de Vídeo Asus Phoenix NVIDIA GeForce GTX 1650 OC Edition, 4GB, GDDR6 - PH-GTX1650-O4GD6",Asus,Phoenix GTX 1650 OC Edition,4GB,GDDR6
37,KB-GP-37,PH-GTX1050TI-4G,Kabum,"Placa de Vídeo Asus NVIDIA GeForce GTX 1050 Ti Phoenix 4GB, GDDR5 - PH-GTX1050TI-4G",Asus,GTX 1050 Ti Phoenix,4GB,GDDR5
38,KB-GP-38,ROG-STRIX-RX5700XT-O8G-GAMING,Kabum,"Placa de Vídeo Asus ROG Strix AMD Radeon RX 5700 XT OC, 8GB, GDDR6 - ROG-STRIX-RX5700XT-O8G-GAMING",Asus,ROG Strix RX 5700 XT OC,8GB,GDDR6
39,KB-GP-39,DUAL-RTX2070S-O8G-EVO,Kabum,"Placa de Vídeo Asus NVIDIA Dual Geforce RTX 2070 Super EVO OC 8GB, GDDR6 - DUAL-RTX2070S-O8G-EVO",Asus,Dual RTX 2070 Super EVO OC,8GB,GDDR6
40,KB-GP-40,08G-P4-3178-KR,Kabum,"Placa de Vídeo EVGA NVIDIA GeForce RTX 2070 Super XC Hybrid Gaming, 8GB, GDDR6 - 08G-P4-3178-KR",Evga,RTX 2070 Super XC Hybrid Gaming,8GB,GDDR6
41,KB-GP-41,4G-P4-1257-KR,Kabum,"Placa de Vídeo EVGA NVIDIA GeForce GTX 1650 SC Ultra GDDR6 Gaming, 4GB, GDDR6 - 4G-P4-1257-KR",Evga,GTX 1650 SC Ultra Gaming,4GB,GDDR6
42,KB-GP-42,08G-P4-3071-KR,Kabum,"Placa de Video EVGA GeForce RTX 2070 Super Black Gaming, 8GB, GDDR6 - 08G-P4-3071-KR",Evga,RTX 2070 Super Black Gaming,8GB,GDDR6
43,KB-GP-43,06G-P4-1667-KR,Kabum,"Placa de Vídeo EVGA NVIDIA GeForce GTX 1660 Ti SC Ultra Gaming, 6GB, GDDR6 - 06G-P4-1667-KR",Evga,GTX 1660 Ti SC Ultra Gaming,6GB,GDDR6
44,KB-GP-44,08G-P5-3751-KR,Kabum,"Placa de Vídeo EVGA NVIDIA GeForce RTX 3070 XC3 Black Gaming, 8GB, GDDR6 - 08G-P5-3751-KR",Evga,RTX 3070 XC3 Black Gaming,8GB,GDDR6
45,KB-GP-45,04G-P4-1457-KR,Kabum,"Placa de Vídeo EVGA NVIDA GeForce GTX 1650 KO ULTRA, 4GB, GDDR6 - 04G-P4-1457-KR",Evga,NVIDA GTX 1650 KO ULTRA,4GB,GDDR6
46,KB-GP-46,08G-P4-2072-KR,Kabum,"Placa de Vídeo EVGA NVIDIA GeForce RTX 2070 Super KO Gaming, 8GB, GDDR6 - 08G-P4-2072-KR",Evga,RTX 2070 Super KO Gaming,8GB,GDDR6
47,KB-GP-47,02G-P4-6332-KR,Kabum,"Placa de Vídeo EVGA NVIDIA GeForce GT 1030 SC 2GB, GDDR5 - 02G-P4-6332-KR",Evga,GT 1030 SC,2GB,GDDR5
48,KB-GP-48,08G-P4-3081-KR,Kabum,"Placa de Vídeo EVGA NVIDIA GeForce RTX 2080 Super Black Gaming, 8GB, GDDR6 - 08G-P4-3081-KR",Evga,RTX 2080 Super Black Gaming,8GB,GDDR6
49,KB-GP-49,02G-P4-6338-KR,Kabum,"Placa de Vídeo EVGA NVIDIA GeForce GT 1030 SC 2GB, GDDR5 - 02G-P4-6338-KR",Evga,GT 1030 SC,2GB,GDDR5
50,KB-GP-50,02G-P3-2713-KR,Kabum,"Placa de Vídeo EVGA NVIDIA GeForce GT 710 2GB, DDR3 - 02G-P3-2713-KR",Evga,GT 710 DDR3,2GB,GDDR3
51,KB-GP-51,04G-P4-1251-KR,Kabum,"Placa de Vídeo EVGA NVIDIA GeForce GTX 1650 Super XC Black Gaming, 4GB, GDDR6 - 04G-P4-1251-KR",Evga,GTX 1650 Super XC Black Gaming,4GB,GDDR6
52,KB-GP-52,08G-P4-3377-KR,Kabum,"Placa de Vídeo EVGA NVIDIA GeForce RTX 2070 Super FTW3 Ultra+ Overclocked, 8GB, GDDR6 - 08G-P4-3377-KR",Evga,RTX 2070 Super FTW3 Ultra+ Overclocked,8GB,GDDR6
53,KB-GP-53,08G-P4-3163-KR,Kabum,"Placa de Video EVGA GeForce RTX 2060 Super XC Ultra Gaming, 8GB, GDDR6 - 08G-P4-3163-KR",Evga,RTX 2060 Super XC Ultra Gaming,8GB,GDDR6
54,KB-GP-54,08G-P4-3070-KR,Kabum,"Placa de Vídeo EVGA NVIDIA GeForce RTX 2070 Super Gaming, 8GB, GDDR6 - 08G-P4-3070-KR",Evga,RTX 2070 Super Gaming,8GB,GDDR6
