id,code,site,descricao,marca,modelo,tamanho,entrada,socket
0,KB-MB-0,Kabum,"Placa-Mãe Gigabyte Aorus B360M Aorus Gaming 3, Intel LGA 1151, mATX, DDR4",Aorus,B360M Aorus Gaming 3,mATX,DDR4,LGA 1151
1,KB-MB-1,Kabum,"Placa-mãe Gigabyte Aorus B450 Aorus M, AMD AM4, mATX, DDR4",Aorus,B450 Aorus M,mATX,DDR4,AM4
2,KB-MB-2,Kabum,"Placa-Mãe Gigabyte H470I Aorus Pro AX, Intel LGA1200, Mini-ITX, DDR4",Aorus,H470I Aorus Pro AX,Mini ITX,DDR4,LGA 1200
3,KB-MB-3,Kabum,"Placa-Mãe Gigabyte Aorus B450 Aorus Pro, AMD AM4, ATX, DDR4",Aorus,B450 Aorus Pro, ATX,DDR4,AM4
4,KB-MB-4,Kabum,"Placa-Mãe Gigabyte Aorus B365 M Aorus Elite, Intel LGA 1151, mATX, DDR4",Aorus,B365 M Aorus Elite,mATX,DDR4,LGA 1151
5,KB-MB-5,Kabum,"Placa-mãe Gigabyte Aorus X570 Aorus Elite, AMD AM4, ATX, DDR4",Aorus,X570 Aorus Elite, ATX,DDR4,AM4
6,KB-MB-6,Kabum,"Placa-Mãe Gigabyte Aorus X570 Aorus Pro, AM4, ATX, DDR4",Aorus,X570 Aorus Pro, ATX,DDR4,AM4
7,KB-MB-7,Kabum,"Placa-Mãe Gigabyte Aorus Z490 Aorus Master, Intel LGA 1200, ATX, DDR4",Aorus,Z490 Aorus Master, ATX,DDR4,LGA 1200
8,KB-MB-8,Kabum,"Placa-Mãe Gigabyte B550 Aorus Pro AC, AMD AM4, ATX, DDR4",Aorus,B550 Aorus Pro AC, ATX,DDR4,AM4
9,KB-MB-9,Kabum,"Placa-Mãe Gigabyte Z490 UD AC, Intel LGA 1200, ATX, DDR4",Aorus,Z490 UD AC, ATX,DDR4,LGA 1200
10,KB-MB-10,Kabum,"Placa-Mãe Gigabyte H470 Aorus Pro AX, Intel LGA1200, ATX, DDR4",Aorus,H470 Aorus Pro AX, ATX,DDR4,LGA 1200
11,KB-MB-11,Kabum,"Placa-Mãe Gigabyte Aorus B450 Aorus Pro Wi-Fi, AMD AM4, ATX, DDR4",Aorus,B450 Aorus Pro Wi-Fi, ATX,DDR4,AM4
12,KB-MB-12,Kabum,"Placa-Mãe Gigabyte B460 Aorus Pro AC, Intel LGA1200, ATX, DDR4",Aorus,B460 Aorus Pro AC, ATX,DDR4,LGA 1200
13,KB-MB-13,Kabum,"Placa-Mãe Gigabyte Aorus B450 Aorus Elite, AMD ATX, DDR4",Aorus,B450 Aorus Elite AMD, ATX,DDR4,NaN
14,KB-MB-14,Kabum,"Placa-mãe Gigabyte Aorus X570 Aorus Pro WiFi, AMD AM4, ATX, DDR4, Rev 1.0",Aorus,X570 Aorus Pro WiFi Rev 1.0, ATX,DDR4,AM4
15,KB-MB-15,Kabum,"Placa-Mãe Gigabyte Aorus B450 I Aorus Pro Wi-Fi, AM4, Mini-ITX, DDR4",Aorus,B450 I Aorus Pro Wi-Fi,Mini ITX,DDR4,AM4
16,KB-MB-16,Kabum,"Placa-Mãe Gigabyte Aorus X570 Aorus Xtreme, AM4, eATX, DDR4",Aorus,X570 Aorus Xtreme,EATX,DDR4,AM4
17,KB-MB-17,Kabum,"Placa-Mãe Gigabyte Aorus Z490 Aorus Ultra (rev 1.0), Intel LGA 1200, ATX, DDR4",Aorus,Z490 Aorus Ultra (rev 1.0), ATX,DDR4,LGA 1200
18,KB-MB-18,Kabum,"Placa-Mãe Gigabyte B550M Aorus Pro, AMD AM4, Micro ATX, DDR4",Aorus,B550M Aorus Pro,mATX,DDR4,AM4
19,KB-MB-19,Kabum,"Placa-Mãe Gigabyte B550M Aorus Elite, AMD AM4, Micro ATX, DDR4",Aorus,B550M Aorus Elite,mATX,DDR4,AM4
20,KB-MB-20,Kabum,"Placa-Mãe Gigabyte Aorus X399 Aorus Pro, AMD TR4, ATX, DDR4 (Rev. 1.0)",Aorus,X399 Aorus Pro (Rev. 1.0), ATX,DDR4,TR4
21,KB-MB-21,Kabum,"Placa mãe Gigabyte Aorus X570 Aorus Master, AMD AM4, ATX, DDR4",Aorus,Gigabyte Aorus X570 Aorus Master, ATX,DDR4,AM4
22,KB-MB-22,Kabum,"Placa-mãe Gigabyte Aorus X570 I Aorus Pro WiFi, AMD AM4, Mini-ITX, DDR4",Aorus,X570 I Aorus Pro WiFi,Mini ITX,DDR4,AM4
23,KB-MB-23,Kabum,"Placa-Mãe Gigabyte B550I Aorus Pro AX, AMD AM4, Mini-ITX, DDR4",Aorus,B550I Aorus Pro AX,Mini ITX,DDR4,AM4
24,KB-MB-24,Kabum,"Placa-Mãe Aorus B460M Aorus Pro, Intel LGA 1200, mATX, DDR4",Aorus,B460M Pro,mATX,DDR4,LGA 1200
25,KB-MB-25,Kabum,"Placa Mãe Gigabyte Z490 AORUS XTREME Waterforce, Intel LGA1200, E-ATX, DDR4, RGB, Wi-Fi, Bluetooth",Aorus,Gigabyte Z490 AORUS XTREME Waterforce RGB Wi-Fi Bluetooth,EATX,DDR4,LGA 1200
26,KB-MB-26,Kabum,"Placa-Mãe Gigabyte A520 AORUS ELITE, AMD AM4, ATX, DDR4",Aorus,A520 AORUS ELITE, ATX,DDR4,AM4
27,KB-MB-27,Kabum,"Placa-mãe Gigabyte Aorus X570 Aorus Ultra, AMD AM4, ATX, DDR4",Aorus,X570 Aorus Ultra, ATX,DDR4,AM4
28,KB-MB-28,Kabum,"Placa-Mãe Gigabyte Aorus X570 Aorus Elite Wifi, AM4, ATX, DDR4",Aorus,X570 Aorus Elite Wifi, ATX,DDR4,AM4
29,KB-MB-29,Kabum,"Placa-Mãe Gigabyte Aorus Z490I Aorus Ultra, Intel LGA 1200, mini-ITX, DDR4",Aorus,Z490I Aorus Ultra,Mini ITX,DDR4,LGA 1200
30,KB-MB-30,Kabum,"Placa-Mãe Gigabyte B550 Aorus Master, AMD AM4, ATX, DDR4",Aorus,B550 Aorus Master, ATX,DDR4,AM4
31,KB-MB-31,Kabum,"Placa-Mãe Gigabyte Aorus Z490 Aorus PRO AX, Intel LGA 1200, ATX, DDR4",Aorus,Z490 Aorus PRO AX, ATX,DDR4,LGA 1200
32,KB-MB-32,Kabum,"Placa-Mãe Gigabyte B550 Aorus Elite, AMD AM4, ATX, DDR4",Aorus,B550 Aorus Elite, ATX,DDR4,AM4
33,KB-MB-33,Kabum,"Placa-Mãe ASRock B460M-HDV, Intel LGA 1200, Micro ATX, DDR4",ASRock,B460M-HDV,mATX,DDR4,LGA 1200
34,KB-MB-34,Kabum,"Placa-Mãe Asrock ASRock X570 Steel Legend, AMD AM4, ATX, DDR4",ASRock,X570 Steel Legend, ATX,DDR4,AM4
35,KB-MB-35,Kabum,"Placa-Mãe ASRock Z490 Pro4, Intel LGA1200, ATX, DDR4",ASRock,Z490 Pro4, ATX,DDR4,LGA 1200
36,KB-MB-36,Kabum,"Placa-Mãe ASRock X570 Extreme4, AMD AM4, ATX, DDR4",ASRock,X570 Extreme4, ATX,DDR4,AM4
37,KB-MB-37,Kabum,"Placa-Mãe ASRock B450M-HDV R4.0, AMD AM4, Micro ATX, DDR4",ASRock,B450M-HDV R4.0,mATX,DDR4,AM4
38,KB-MB-38,Kabum,"Placa-Mãe ASRock B550M Steel Legend, AMD AM4, Micro ATX, DDR4",ASRock,B550M Steel Legend,mATX,DDR4,AM4
39,KB-MB-39,Kabum,Placa-Mãe ASRock A520M-HVS - 90-MXBE60-A0UAYZ,ASRock,A520M-HVS - 90-MXBE60-A0UAYZ,NaN,NaN,NaN
40,KB-MB-40,Kabum,"Placa-Mãe ASRock Z490 PG Velocita, Intel LGA 1200, ATX, DDR4",ASRock,Z490 PG Velocita, ATX,DDR4,LGA 1200
41,KB-MB-41,Kabum,"Placa-Mãe ASRock Z490M-ITX/ac, Intel LGA 1200, Mini-ITX, DDR4 - 90-MXBC00-A0UAYZ",ASRock,Z490M-ITX/ac - 90-MXBC00-A0UAYZ,Mini ITX,DDR4,LGA 1200
42,KB-MB-42,Kabum,"Placa-Mãe ASRock H470 Phantom Gaming 4, Intel LGA 1200, ATX, DDR4",ASRock,H470 Phantom Gaming 4, ATX,DDR4,LGA 1200
43,KB-MB-43,Kabum,"Placa-Mãe ASRock B450M Steel Legend, AMD AM4, mATX, DDR4 - 90-MXB9Y0-A0BAYZ",ASRock,B450M Steel Legend - 90-MXB9Y0-A0BAYZ,mATX,DDR4,AM4
44,KB-MB-44,Kabum,"Placa-Mãe ASRock H410M-HDV, Intel LGA 1200, Micro ATX, DDR4",ASRock,H410M-HDV,mATX,DDR4,LGA 1200
45,KB-MB-45,Kabum,Placa-Mãe ASRock X570M Pro4,ASRock,X570M Pro4,NaN,NaN,NaN
46,KB-MB-46,Kabum,"Placa-Mãe ASRock B460 Steel Legend, Intel LGA1200, ATX, DDR4",ASRock,B460 Steel Legend, ATX,DDR4,LGA 1200
47,KB-MB-47,Kabum,"Placa-Mãe ASRock B550 Taichi, AMD AM4, ATX, DDR4",ASRock,B550 Taichi, ATX,DDR4,AM4
48,KB-MB-48,Kabum,"Placa-Mãe ASRock A320M-HDV R4.0, AMD AM4, Micro ATX, DDR4",ASRock,A320M-HDV R4.0,mATX,DDR4,AM4
49,KB-MB-49,Kabum,Placa-Mãe ASRock A520M-ITX/ac - 90-MXBDG0-A0UAYZ,ASRock,A520M-ITX/ac - 90-MXBDG0-A0UAYZ,NaN,NaN,NaN
50,KB-MB-50,Kabum,"Placa-Mãe ASRock Z490 Steel Legend, Intel LGA 1200, ATX, DDR4 - 90-MXBC10-A0UAYZ",ASRock,Z490 Steel Legend - 90-MXBC10-A0UAYZ, ATX,DDR4,LGA 1200
334,KB-MB-334,Kabum,"Placa-Mãe ASRock B550 Pro4, AMD AM4, ATX, DDR4",ASRock,B550 Pro4, ATX,DDR4,AM4
51,KB-MB-51,Kabum,"Placa-Mãe ASRock H470M Pro4, Intel LGA 1200, Micro ATX, DDR4",ASRock,H470M Pro4,mATX,DDR4,LGA 1200
52,KB-MB-52,Kabum,"Placa-Mãe ASRock X570 Taichi, AMD AM4, ATX, DDR4",ASRock,X570 Taichi, ATX,DDR4,AM4
53,KB-MB-53,Kabum,"Placa-Mãe ASRock H410M-HVS, Intel LGA 1200, Micro ATX, DDR4",ASRock,H410M-HVS,mATX,DDR4,LGA 1200
54,KB-MB-54,Kabum,"Placa-Mãe ASRock B460M Steel Legend, Intel LGA1200, Micro ATX, DDR4",ASRock,B460M Steel Legend,mATX,DDR4,LGA 1200
55,KB-MB-55,Kabum,"Placa-Mãe ASRock X570 Phantom Gaming 4S, AMD AM4, ATX, DDR4",ASRock,X570 Phantom Gaming 4S, ATX,DDR4,AM4
56,KB-MB-56,Kabum,"Placa-Mãe ASRock B550 PG Velocita, AMD AM4, ATX, DDR4",ASRock,B550 PG Velocita, ATX,DDR4,AM4
57,KB-MB-57,Kabum,"Placa-Mãe ASRock B550M-HDV, AMD AM4, Micro ATX, DDR4",ASRock,B550M-HDV,mATX,DDR4,AM4
58,KB-MB-58,Kabum,Placa-Mãe ASRock A520M-HDVP,ASRock,A520M-HDVP,NaN,NaN,NaN
