id,code,sku,site,descricao,marca,modelo,cache,frequencia,socket
0,KB-PR-0,100-100000031BOX,Kabum,"Processador AMD Ryzen 5 3600 Cache 32MB 3.6GHz(4.2GHz Max Turbo) AM4, Sem Vídeo - 100-100000031BOX",Amd,Ryzen 5 3600,32MB,3.6GHz(4.2GHz Max Turbo),AM4
1,KB-PR-1,100-100000065BOX,Kabum,"Processador AMD Ryzen 5 5600X, Cache 35MB, 3.7GHz (4.6GHz Max Turbo), AM4 - 100-100000065BOX",Amd,Ryzen 5 5600X,35MB,3.7GHz (4.6GHz Max Turbo),AM4
2,KB-PR-2,100-100000163WOF,Kabum,"Processador AMD Ryzen Threadripper 3990X, Cache 256MB, 2.9GHz (4.3GHz Max Turbo), sTRX4, Sem Vídeo - 100-100000163WOF",Amd,Ryzen Threadripper 3990X,256MB,2.9GHz (4.3GHz Max Turbo),sTRX4
3,KB-PR-3,100-100000023BOX,Kabum,"Processador AMD Ryzen 9 3900X Cache 64MB 3.8GHz (4.6GHz Max Turbo) AM4, Sem Vídeo - 100-100000023BOX",Amd,Ryzen 9 3900X,64MB,3.8GHz (4.6GHz Max Turbo),AM4
4,KB-PR-4,YD295XA8AFWOF,Kabum,"Processador AMD Ryzen Threadripper 2950X, Cache 32MB, 3.5GHz (4.4GHz Max Turbo), sTR4, Sem Vídeo - YD295XA8AFWOF",Amd,Ryzen Threadripper 2950X,32MB,3.5GHz (4.4GHz Max Turbo),sTR4
5,KB-PR-5,100-100000025BOX,Kabum,Processador AMD Ryzen 7 3800X Cache 32MB 3.9GHz (4.5GHz Max Turbo) AMD4 - 100-100000025BOX,Amd,Ryzen 7 3800X,32MB,3.9GHz (4.5GHz Max Turbo),NaN
6,KB-PR-6,100-100000051WOF,Kabum,"Processador AMD Ryzen 9 3950X, Cache 64MB, 4700MHz, AM4 - 100-100000051WOF",Amd,Ryzen 9 3950X,64MB,4700MHz,AM4
7,KB-PR-7,100-100000279WOF,Kabum,"Processador AMD Ryzen 7 3800XT, Cache 36MB, 3.8GHz (4.7GHz Max Turbo), AM4 - 100-100000279WOF",Amd,Ryzen 7 3800XT,36MB,3.8GHz (4.7GHz Max Turbo),AM4
8,KB-PR-8,100-100000010WOF,Kabum,"Processador AMD Ryzen Threadripper 3960X, Cache 128MB, 4500MHz, sTRX4 -100-100000010WOF",Amd,Ryzen Threadripper 3960X,128MB,4500MHz,sTRX4
9,KB-PR-9,YD2200C5FBBOX,Kabum,"Processador AMD Ryzen 3 2200G, Cooler Wraith Stealth, Cache 6MB, 3.5GHz (3.7GHz Max Turbo), AM4 - YD2200C5FBBOX",Amd,Ryzen 3 2200G,6MB,3.5GHz (3.7GHz Max Turbo),AM4
