id,code,sku,site,descricao,marca,entrada,frequencia,capacidade
0,KB-RM-0,ADDS1600W4G11-S,Kabum,"Memória Adata 1600 SO-DIMM 4GB, 1600MHz, DDR3, CL11 - ADDS1600W4G11-S",Adata,DDR3,1600MHz,4GB 
1,KB-RM-1,ADDS1600W8G11-S,Kabum,"Memória Adata 1600 SO-DIMM 8GB, 1600MHz, DDR3L, CL11 - ADDS1600W8G11-S",Adata,DDR3,1600MHz,8GB 
2,KB-RM-2,GP-AR36C18S8K2HU416RD,Kabum,"Memória Aorus RGB, 16GB (2x8GB), 3600MHz, DDR4, CL18 (com módulo de demonstração) - GP-AR36C18S8K2HU416RD",Aorus,DDR4,3600MHz,16GB (2x8GB)
3,KB-RM-3,GP-AR36C18S8K2HU416R,Kabum,"Memória Aorus RGB, 16GB (2x8GB), 3600MHz, DDR4, CL18 - GP-AR36C18S8K2HU416R",Aorus,DDR4,3600MHz,16GB (2x8GB)
4,KB-RM-4,GP-ARS16G32D,Kabum,"Memória Aorus RGB, 16GB (2x8GB), 3200MHz, DDR4, CL16 (com módulo de demonstração) - GP-ARS16G32D",Aorus,DDR4,3200MHz,16GB (2x8GB)
5,KB-RM-5,GP-ARS16G32,Kabum,"Memória Aorus RGB, 16GB (2x8GB), 3200MHz, DDR4, CL16 - GP-ARS16G32",Aorus,DDR4,3200MHz,16GB (2x8GB)
6,KB-RM-6,CMK16GX4M1B3000C15,Kabum,Memória Corsair Vengeance LPX 16GB 3000Mhz DDR4 C15 Black - CMK16GX4M1B3000C15,Corsair,DDR4,3000Mhz,16GB 
7,KB-RM-7,CMZ16GX3M2A1600C9,Kabum,Memória Corsair Vengeance 16GB (2x8GB) 1600Mhz DDR3 C9 - CMZ16GX3M2A1600C9,Corsair,DDR3,1600Mhz,16GB (2x8GB)
8,KB-RM-8,CMW32GX4M4C3000C15W,Kabum,"Memória Corsair Vengeance RGB Pro, 32GB (4x8GB), 3000MHz, DDR4, CL15, Branco - CMW32GX4M4C3000C15W",Corsair,DDR4,3000MHz,32GB (4x8GB)
9,KB-RM-9,CMT32GX4M2C3200C16,Kabum,"Memória Corsair Dominator RGB, 32GB (2x16GB), 3200Hz, DDR4, C16, Preto - CMT32GX4M2C3200C16",Corsair,DDR4,3200Hz,32GB (2x16GB)
