site,descricao,marca,cartao,boleto,data
Kabum,"SSD Adata SU650, 120GB, SATA, Leitura 520MB/s, Gravação 450MB/s - ASU650SS-120GT-R",Adata,"R$ 270,47","R$ 229,90",2020-12-13
Kabum,"SSD Adata SU800, 512GB, M.2, Leituras: 560Mb/s e Gravações: 520Mb/s - ASU800NS38-512GT-C",Adata,"R$ 576,35","R$ 489,90",2020-12-13
Kabum,"SSD Externo Adata, 256GB, USB 3.2 Gen 2 com Type C, Leitura de Até 1000MB/s, Preto - ASE760-256GU32G2-CBK",Adata,"R$ 470,47","R$ 399,90",2020-12-13
Kabum,"SSD Adata SU650, 960GB, SATA, Leituras: 520Mb/s e Gravações: 450Mb/s - ASU650SS-960GT-R",Adata,"R$ 911,65","R$ 774,90",2020-12-13
Kabum,"SSD Adata SU800, 2TB, SATA, Leituras: 550Mb/s e Gravações: 500Mb/s - ASU800SS-2TT-C",Adata,"R$ 2.030,47","R$ 1.725,90",2020-12-13
Kabum,"SSD Externo Adata, 1TB, USB 3.2 Gen 2 com Type C, Leitura de Até 1000MB/s, Preto - ASE760-1TU32G2-CBK",Adata,"R$ 1.312,82","R$ 1.115,90",2020-12-13
Kabum,"SSD Adata Ultimate SU800 1TB, SATA, Leituras: 550MB/s e Gravações: 500MB/s - ASU800SS-1TT-C",Adata,"R$ 1.058,71","R$ 899,90",2020-12-13
Kabum,"SSD Adata Ultimate SU800 256GB, SATA, Leituras: 550MB/s e Gravações: 500MB/s - ASU800SS-256GT-C",Adata,"R$ 404,59","R$ 343,90",2020-12-13
Kabum,"SSD Adata Swordfish, 1TB, M.2 PCIe, Leituras: 1800Mb/s e Gravações: 1200MB/s - ASWORDFISH-1T-C",Adata,"R$ 992,82","R$ 843,90",2020-12-13
Kabum,"SSD Adata SU635, 480GB, SATA, Leituras: 520MB/s e Gravações: 450MB/s - ASU635SS-480GQ-R",Adata,"R$ 559,88","R$ 475,90",2020-12-13
Kabum,"SSD Adata Ultimate SU800 512GB, SATA, Leituras: 560MB/s e Gravações: 520MB/s - ASU800SS-512GT-C",Adata,"R$ 677,53","R$ 575,90",2020-12-13
Kabum,"SSD Adata SU800, 1TB, M.2, Leituras: 560Mb/s e Gravações: 520Mb/s - ASU800NS38-1TT-C",Adata,"R$ 1.021,06","R$ 867,90",2020-12-13
