,code,cartao,boleto,data
0,KB-FT-0,282.24,239.9,2020-11-19
1,KB-FT-1,105.76,89.9,2020-11-19
2,KB-FT-2,588.12,499.9,2020-11-19
3,KB-FT-3,411.65,349.9,2020-11-19
4,KB-FT-4,303.41,257.9,2020-11-19
5,KB-FT-5,270.47,229.9,2020-11-19
6,KB-FT-6,303.41,257.9,2020-11-19
7,KB-FT-7,411.65,349.9,2020-11-19
8,KB-FT-8,152.82,129.9,2020-11-19
9,KB-FT-9,199.88,169.9,2020-11-19
10,KB-FT-10,446.94,379.9,2020-11-19
11,KB-FT-11,364.59,309.9,2020-11-19
12,KB-FT-12,376.35,319.9,2020-11-19
13,KB-FT-13,646.94,549.9,2020-11-19
14,KB-FT-14,1023.41,869.9,2020-11-19
15,KB-FT-15,1058.71,899.9,2020-11-19
16,KB-FT-16,729.29,619.9,2020-11-19
17,KB-FT-17,1082.24,919.9,2020-11-19
18,KB-FT-18,494.0,419.9,2020-11-19
19,KB-FT-19,1152.82,979.9,2020-11-19
20,KB-FT-20,670.47,569.9,2020-11-19
21,KB-FT-21,788.12,669.9,2020-11-19
22,KB-FT-22,1011.65,859.9,2020-11-19
23,KB-FT-23,588.12,499.9,2020-11-19
24,KB-FT-24,729.29,619.9,2020-11-19
25,KB-FT-25,1411.65,1199.9,2020-11-19
26,KB-FT-26,823.41,699.9,2020-11-19
27,KB-FT-27,846.94,719.9,2020-11-19
28,KB-FT-28,505.76,429.9,2020-11-19
29,KB-FT-29,635.18,539.9,2020-11-19
30,KB-FT-30,4117.53,3499.9,2020-11-19
31,KB-FT-31,576.35,489.9,2020-11-19
32,KB-FT-32,1294.0,1099.9,2020-11-19
33,KB-FT-33,752.82,639.9,2020-11-19
34,KB-FT-34,1058.71,899.9,2020-11-19
35,KB-FT-35,2941.06,2499.9,2020-11-19
36,KB-FT-36,941.06,799.9,2020-11-19
37,KB-FT-37,588.12,499.9,2020-11-19
38,KB-FT-38,635.18,539.9,2020-11-19
39,KB-FT-39,1176.35,999.9,2020-11-19
40,KB-FT-40,1176.35,999.9,2020-11-19
41,KB-FT-41,576.35,489.9,2020-11-19
42,KB-FT-42,611.65,519.9,2020-11-19
43,KB-FT-43,1235.18,1049.9,2020-11-19
44,KB-FT-44,882.24,749.9,2020-11-19
45,KB-FT-45,799.88,679.9,2020-11-19
46,KB-FT-46,494.0,419.9,2020-11-19
47,KB-FT-47,446.94,379.9,2020-11-19
48,KB-FT-48,411.65,349.9,2020-11-19
49,KB-FT-49,917.53,779.9,2020-11-19
50,KB-FT-50,435.18,369.9,2020-11-19
51,KB-FT-51,705.76,599.9,2020-11-19
52,KB-FT-52,823.41,699.9,2020-11-19
53,KB-FT-53,517.53,439.9,2020-11-19
54,KB-FT-54,1646.94,1399.9,2020-11-19
55,KB-FT-55,941.06,799.9,2020-11-19
56,KB-FT-56,1470.47,1249.9,2020-11-19
57,KB-FT-57,1446.94,1229.9,2020-11-19
58,KB-FT-58,1258.71,1069.9,2020-11-19
59,KB-FT-59,882.24,749.9,2020-11-19
60,KB-FT-60,858.71,729.9,2020-11-19
61,KB-FT-61,718.71,610.9,2020-11-19
62,KB-FT-62,517.53,439.9,2020-11-19
63,KB-FT-63,376.35,319.9,2020-11-19
64,KB-FT-64,670.47,569.9,2020-11-19
65,KB-FT-65,1317.53,1119.9,2020-11-19
66,KB-FT-66,882.24,749.9,2020-11-19
67,KB-FT-67,999.88,849.9,2020-11-19
68,KB-FT-68,1117.53,949.9,2020-11-19
69,KB-FT-69,764.59,649.9,2020-11-19
70,KB-FT-70,1058.71,899.9,2020-11-19
71,KB-FT-71,776.35,659.9,2020-11-19
72,KB-FT-72,1670.47,1419.9,2020-11-19
73,KB-FT-73,505.76,429.9,2020-11-19
74,KB-FT-74,1823.41,1549.9,2020-11-19
75,KB-FT-75,646.94,549.9,2020-11-19
76,KB-FT-76,517.53,439.9,2020-11-19
77,KB-FT-77,615.18,522.9,2020-11-19
78,KB-FT-78,529.29,449.9,2020-11-19
79,KB-FT-79,588.12,499.9,2020-11-19
80,KB-FT-80,882.24,749.9,2020-11-19
81,KB-FT-81,552.82,469.9,2020-11-19
82,KB-FT-82,264.59,224.9,2020-11-19
83,KB-FT-83,223.41,189.9,2020-11-19
84,KB-FT-84,470.47,399.9,2020-11-19
85,KB-FT-85,1646.94,1399.9,2020-11-19
86,KB-FT-86,1317.53,1119.9,2020-11-19
87,KB-FT-87,117.53,99.9,2020-11-19
88,KB-FT-88,223.41,189.9,2020-11-19
89,KB-FT-89,623.41,529.9,2020-11-19
90,KB-FT-90,705.76,599.9,2020-11-19
91,KB-FT-91,588.12,499.9,2020-11-19
92,KB-FT-92,635.18,539.9,2020-11-19
93,KB-FT-93,941.06,799.9,2020-11-19
94,KB-FT-94,1473.58,1399.9,2020-11-19
95,KB-FT-95,2171.65,1845.9,2020-11-19
96,KB-FT-96,676.35,574.9,2020-11-19
97,KB-FT-97,741.06,629.9,2020-11-19
98,KB-FT-98,1623.41,1379.9,2020-11-19
99,KB-FT-99,529.29,449.9,2020-11-19
100,KB-FT-100,184.59,156.9,2020-11-19
101,KB-FT-101,211.65,179.9,2020-11-19
102,KB-FT-102,999.88,849.9,2020-11-19
103,KB-FT-103,164.59,139.9,2020-11-19
104,KB-FT-104,282.24,239.9,2020-11-19
105,KB-FT-105,377.53,320.9,2020-11-19
106,KB-FT-106,282.24,239.9,2020-11-19
107,KB-FT-107,94.0,79.9,2020-11-19
108,KB-FT-108,388.12,329.9,2020-11-19
109,KB-FT-109,388.12,329.9,2020-11-19
110,KB-FT-110,211.65,179.9,2020-11-19
111,KB-FT-111,270.47,229.9,2020-11-19
112,KB-FT-112,282.24,239.9,2020-11-19
113,KB-FT-113,86.94,73.9,2020-11-19
114,KB-FT-114,623.41,529.9,2020-11-19
115,KB-FT-115,458.71,389.9,2020-11-19
116,KB-FT-116,1058.71,899.9,2020-11-19
117,KB-FT-117,517.53,439.9,2020-11-19
118,KB-FT-118,470.47,399.9,2020-11-19
119,KB-FT-119,246.94,209.9,2020-11-19
120,KB-FT-120,470.47,399.9,2020-11-19
121,KB-FT-121,376.35,319.9,2020-11-19
122,KB-FT-122,2588.12,2199.9,2020-11-19
123,KB-FT-123,406.94,345.9,2020-11-19
124,KB-FT-124,705.76,599.9,2020-11-19
125,KB-FT-125,2941.06,2499.9,2020-11-19
126,KB-FT-126,2099.9,2099.9,2020-11-19
127,KB-FT-127,1294.0,1099.9,2020-11-19
128,KB-FT-128,1411.65,1199.9,2020-11-19
129,KB-FT-129,470.47,399.9,2020-11-19
130,KB-FT-130,2352.82,1999.9,2020-11-19
131,KB-FT-131,1411.65,1199.9,2020-11-19
132,KB-FT-132,1176.35,999.9,2020-11-19
133,KB-FT-133,4764.59,4049.9,2020-11-19
134,KB-FT-134,2941.06,2499.9,2020-11-19
135,KB-FT-135,458.71,389.9,2020-11-19
136,KB-FT-136,799.88,679.9,2020-11-19
137,KB-FT-137,799.9,799.9,2020-11-19
138,KB-FT-138,823.41,699.9,2020-11-19
139,KB-FT-139,2941.06,2499.9,2020-11-19
140,KB-FT-140,529.29,449.9,2020-11-19
141,KB-FT-141,2235.18,1899.9,2020-11-19
142,KB-FT-142,1764.59,1499.9,2020-11-19
143,KB-FT-143,1411.65,1199.9,2020-11-19
144,KB-FT-144,588.12,499.9,2020-11-19
145,KB-FT-145,541.06,459.9,2020-11-19
146,KB-FT-146,2352.82,1999.9,2020-11-19
147,KB-FT-147,999.88,849.9,2020-11-19
148,KB-FT-148,1705.76,1449.9,2020-11-19
149,KB-FT-149,999.88,849.9,2020-11-19
150,KB-FT-150,941.06,799.9,2020-11-19
151,KB-FT-151,705.76,599.9,2020-11-19
152,KB-FT-152,1105.76,939.9,2020-11-19
153,KB-FT-153,1294.0,1099.9,2020-11-19
154,KB-FT-154,1646.94,1399.9,2020-11-19
155,KB-FT-155,2117.53,1799.9,2020-11-19
156,KB-FT-156,1176.35,999.9,2020-11-19
157,KB-FT-157,417.53,354.9,2020-11-19
158,KB-FT-158,623.41,529.9,2020-11-19
159,KB-FT-159,211.65,179.9,2020-11-19
160,KB-FT-160,646.94,549.9,2020-11-19
161,KB-FT-161,846.94,719.9,2020-11-19
162,KB-FT-162,941.05,799.89,2020-11-19
163,KB-FT-163,75.18,63.9,2020-11-19
164,KB-FT-164,352.82,299.9,2020-11-19
165,KB-FT-165,999.88,849.9,2020-11-19
166,KB-FT-166,588.12,499.9,2020-11-19
